iter	RMSE
0	14.68126508
1	14.28987378
2	13.92221205
3	13.55531587
4	13.22691822
5	12.9441349
6	12.64642135
7	12.36528077
8	12.07212041
9	11.78318983
10	11.50552385
11	11.26913413
12	11.00355142
13	10.76693446
14	10.5301376
15	10.30006843
16	10.07913182
17	9.88201841
18	9.676127331
19	9.484134135
20	9.315739032
21	9.172897589
22	9.002919182
23	8.847527811
24	8.700393917
25	8.549028757
26	8.417674832
27	8.293325405
28	8.164908636
29	8.048412069
30	7.930133186
31	7.808791992
32	7.700553364
33	7.605756937
34	7.50846597
35	7.417028668
36	7.323502686
37	7.241977546
38	7.160559736
39	7.084473332
40	7.015074105
41	6.94434072
42	6.870776924
43	6.813749228
44	6.753814189
45	6.696334633
46	6.639624573
47	6.586610477
48	6.526652111
49	6.475043005
50	6.422108541
51	6.372527812
52	6.324753113
53	6.27794553
54	6.232802891
55	6.18948568
56	6.147392157
57	6.11124823
58	6.074389452
59	6.040948409
60	6.012382057
61	5.983480155
62	5.954598726
63	5.920750128
64	5.891685342
65	5.865481376
66	5.839669723
67	5.810500543
68	5.781712747
69	5.756569729
70	5.730701083
71	5.707628761
72	5.685409612
73	5.662987134
74	5.642934569
75	5.624790084
76	5.608705031
77	5.589563297
78	5.569716656
79	5.552615146
80	5.534606579
81	5.522953269
82	5.505467001
83	5.491167517
84	5.473168647
85	5.459401186
86	5.445551523
87	5.43390078
88	5.419664566
89	5.401682873
90	5.389817306
91	5.378042952
92	5.362812796
93	5.355903564
94	5.346747222
95	5.332213213
96	5.322599749
97	5.312883947
98	5.302149707
99	5.292304182
100	5.280579175
101	5.271200215
102	5.258536816
103	5.251650162
104	5.243127718
105	5.236432956
106	5.227277428
107	5.22016679
108	5.213352758
109	5.206410334
110	5.194459244
111	5.187122699
112	5.178723865
113	5.173806943
114	5.169874722
115	5.160461907
116	5.154135461
117	5.148466955
118	5.141604579
119	5.137343648
120	5.131050875
121	5.123722752
122	5.11782353
123	5.109294829
124	5.105171226
125	5.099235748
126	5.095791029
127	5.088460655
128	5.082123397
129	5.077482882
130	5.070897123
131	5.066134073
132	5.060594759
133	5.055999273
134	5.046818535
135	5.041329499
136	5.036864188
137	5.032382897
138	5.026436398
139	5.021965006
140	5.017454314
141	5.013839071
142	5.008746013
143	5.000276704
144	4.996805092
145	4.994318716
146	4.989301763
147	4.983067025
148	4.977151034
149	4.973740436
150	4.969855264
151	4.966978214
152	4.958153752
153	4.956279308
154	4.951624751
155	4.94739744
156	4.94078191
157	4.935009979
158	4.928596683
159	4.9191911
160	4.916887897
161	4.912924944
162	4.909603359
163	4.906033971
164	4.904202617
165	4.900179756
166	4.896250727
167	4.891423419
168	4.886764994
169	4.882941574
170	4.877193405
171	4.873725235
172	4.870438189
173	4.866318254
174	4.862540357
175	4.858039937
176	4.852503854
177	4.849087115
178	4.845176393
179	4.840003046
180	4.836051838
181	4.830645504
182	4.828898967
183	4.826854971
184	4.823865234
185	4.81979907
186	4.814036143
187	4.810104319
188	4.807634227
189	4.804592903
190	4.801296101
191	4.799746821
192	4.793536215
193	4.791449584
194	4.78744579
195	4.784329364
196	4.781284047
197	4.776083039
198	4.770126585
199	4.767598585
200	4.762765725
201	4.757842307
202	4.751393161
203	4.746143331
204	4.742318421
205	4.737911762
206	4.735207032
207	4.728921922
208	4.725703245
209	4.723577496
210	4.722532918
211	4.719982896
212	4.714442023
213	4.71234229
214	4.708798205
215	4.705037846
216	4.702343497
217	4.698320717
218	4.696446996
219	4.693799984
220	4.691705625
221	4.688509149
222	4.685133841
223	4.683972796
224	4.680470166
225	4.677396477
226	4.67531716
227	4.672873646
228	4.669671527
229	4.66545196
230	4.662029867
231	4.659550601
232	4.656781446
233	4.652637369
234	4.650202551
235	4.646344524
236	4.642029877
237	4.637609428
238	4.635055048
239	4.63100459
240	4.626676288
241	4.620803203
242	4.618040921
243	4.613513026
244	4.610026524
245	4.604516448
246	4.601755195
247	4.599171663
248	4.598046941
249	4.59573247
250	4.593851468
251	4.591163493
252	4.588545024
253	4.585562851
254	4.582680284
255	4.580806635
256	4.575686083
257	4.570765373
258	4.565892309
259	4.563491064
260	4.561907261
261	4.559098017
262	4.553615041
263	4.551472363
264	4.547405399
265	4.54540781
266	4.541319184
267	4.537809062
268	4.534557522
269	4.529366031
270	4.527312296
271	4.525751924
272	4.523314882
273	4.518418366
274	4.516155834
275	4.513042295
276	4.510668255
277	4.507071195
278	4.505311418
279	4.502140534
