iter	Passed	Remaining
0	0	89
1	1	79
2	2	74
3	3	72
4	3	70
5	4	69
6	5	68
7	5	67
8	6	66
9	7	64
10	8	64
11	8	63
12	9	62
13	9	61
14	10	60
15	11	58
16	11	57
17	12	57
18	12	55
19	13	54
20	14	54
21	15	53
22	15	52
23	16	52
24	17	51
25	17	50
26	18	49
27	19	49
28	19	48
29	20	47
30	21	46
31	21	46
32	22	46
33	23	45
34	24	45
35	25	45
36	26	44
37	27	44
38	28	44
39	28	43
40	29	42
41	30	42
42	30	40
43	31	40
44	32	39
45	32	38
46	33	37
47	34	37
48	35	36
49	35	35
50	36	35
51	37	34
52	37	33
53	38	32
54	39	31
55	39	31
56	40	30
57	40	29
58	41	29
59	42	28
60	43	27
61	43	26
62	44	26
63	45	25
64	45	24
65	46	23
66	47	23
67	47	22
68	49	22
69	49	21
70	50	20
71	51	19
72	51	19
73	52	18
74	53	17
75	53	17
76	54	16
77	55	15
78	56	14
79	56	14
80	57	13
81	58	12
82	58	12
83	59	11
84	60	10
85	60	9
86	61	9
87	77	10
88	77	9
89	78	8
90	79	7
91	79	6
92	80	6
93	81	5
94	81	4
95	82	3
96	83	2
97	83	1
98	84	0
99	85	0
